    learning_rate =0.1,
    n_estimators=1000,
    max_depth=5,
    min_child_weight=1,
    gamma=0,
    subsample=0.8,
    colsample_bytree=0.8,
    objective='multi:softmax',
    nthread=24,
    scale_pos_weight=1,
    seed=27
[250]	train-merror:0.107014+0.000283844	test-merror:0.116187+0.000882812
[251]	train-merror:0.106894+0.000289469	test-merror:0.11613+0.000875421
[252]	train-merror:0.106806+0.000276028	test-merror:0.116023+0.000888696
[253]	train-merror:0.106699+0.000255631	test-merror:0.116012+0.000815286
[254]	train-merror:0.106573+0.000205565	test-merror:0.115989+0.000860681
[255]	train-merror:0.106489+0.000221004	test-merror:0.115921+0.00085619
[256]	train-merror:0.10637+0.000203099	test-merror:0.115788+0.000815239
[257]	train-merror:0.106308+0.00021823	test-merror:0.115696+0.000759487
[258]	train-merror:0.106209+0.000201783	test-merror:0.11567+0.000720138
[259]	train-merror:0.106075+0.000147175	test-merror:0.115544+0.000740815
[260]	train-merror:0.105947+0.000225549	test-merror:0.115442+0.000744974
[261]	train-merror:0.105851+0.000260913	test-merror:0.115396+0.000770979
[262]	train-merror:0.105747+0.000227517	test-merror:0.115316+0.000770248
[263]	train-merror:0.105655+0.000221361	test-merror:0.11524+0.000745962
[264]	train-merror:0.105535+0.000224422	test-merror:0.115229+0.000823557
[265]	train-merror:0.105463+0.000260973	test-merror:0.115119+0.00081407
[266]	train-merror:0.105296+0.000323421	test-merror:0.115009+0.000831462
[267]	train-merror:0.105264+0.000297124	test-merror:0.11494+0.000838317
[268]	train-merror:0.10511+0.000293198	test-merror:0.114929+0.000781489
[269]	train-merror:0.104979+0.000306006	test-merror:0.114822+0.000818178
[270]	train-merror:0.104874+0.00028909	test-merror:0.114731+0.000725625
[271]	train-merror:0.104811+0.000282947	test-merror:0.114754+0.000718185
[272]	train-merror:0.104725+0.000262508	test-merror:0.114628+0.000730502
[273]	train-merror:0.104636+0.000237746	test-merror:0.11453+0.000753078
[274]	train-merror:0.104591+0.000280375	test-merror:0.114533+0.000821015
[275]	train-merror:0.104441+0.000304261	test-merror:0.114492+0.000754907
[276]	train-merror:0.104354+0.000291166	test-merror:0.114389+0.00076931
[277]	train-merror:0.104262+0.000265865	test-merror:0.114347+0.00077501
[278]	train-merror:0.104191+0.000294315	test-merror:0.114298+0.000772438
[279]	train-merror:0.104113+0.000240144	test-merror:0.114298+0.000784132
[280]	train-merror:0.103966+0.00029974	test-merror:0.114244+0.000723409
[281]	train-merror:0.103906+0.000295302	test-merror:0.114165+0.000703619
[282]	train-merror:0.103814+0.000301254	test-merror:0.114165+0.000733187
[283]	train-merror:0.103727+0.000305907	test-merror:0.114123+0.000704376
[284]	train-merror:0.103627+0.000348736	test-merror:0.114051+0.00068572
[285]	train-merror:0.103506+0.000317688	test-merror:0.113906+0.000680699
[286]	train-merror:0.103483+0.000320671	test-merror:0.113891+0.000747866
[287]	train-merror:0.10339+0.000301746	test-merror:0.113842+0.000714115
[288]	train-merror:0.103326+0.000315088	test-merror:0.11383+0.000766002
[289]	train-merror:0.103267+0.000295103	test-merror:0.1138+0.000743676
[290]	train-merror:0.10315+0.000289592	test-merror:0.113693+0.000766269
[291]	train-merror:0.103044+0.000280116	test-merror:0.113655+0.000751144
[292]	train-merror:0.102989+0.000282765	test-merror:0.113591+0.000774905
[293]	train-merror:0.102894+0.00034554	test-merror:0.1135+0.000766621
[294]	train-merror:0.102829+0.000321845	test-merror:0.113401+0.000821873
[295]	train-merror:0.102751+0.000345837	test-merror:0.113351+0.000795883
[296]	train-merror:0.102663+0.00030467	test-merror:0.113264+0.000817541
[297]	train-merror:0.102556+0.000310409	test-merror:0.113157+0.000787691
[298]	train-merror:0.102462+0.000339146	test-merror:0.113096+0.000812459
[299]	train-merror:0.102394+0.000346448	test-merror:0.112998+0.000814952
[300]	train-merror:0.10231+0.000322617	test-merror:0.112971+0.000817767
[301]	train-merror:0.102223+0.000312806	test-merror:0.112944+0.000877336
[302]	train-merror:0.102204+0.000317189	test-merror:0.112906+0.000881941
[303]	train-merror:0.102126+0.000357445	test-merror:0.112781+0.000868896
[304]	train-merror:0.102037+0.000290219	test-merror:0.112705+0.000924771
[305]	train-merror:0.101978+0.000290952	test-merror:0.112663+0.000925603
[306]	train-merror:0.101888+0.000280172	test-merror:0.112583+0.000865483
[307]	train-merror:0.101826+0.000289315	test-merror:0.112591+0.000848316
[308]	train-merror:0.101738+0.000252562	test-merror:0.112587+0.000903132
[309]	train-merror:0.101685+0.000248312	test-merror:0.112561+0.000867028
[310]	train-merror:0.101594+0.000279772	test-merror:0.112507+0.000854738
[311]	train-merror:0.10151+0.000258931	test-merror:0.112462+0.00085922
[312]	train-merror:0.101419+0.00025378	test-merror:0.11242+0.000782043
[313]	train-merror:0.101326+0.000277241	test-merror:0.112329+0.000811956
